Bandit,Reward,Algorithm
0,0.5201353512426411,Epsilon Greedy
0,0.11741906084558029,Epsilon Greedy
0,1.137100565358983,Epsilon Greedy
0,1.6934330882901696,Epsilon Greedy
0,0.7570425392346547,Epsilon Greedy
0,1.7207970815341334,Epsilon Greedy
0,1.8357381127732832,Epsilon Greedy
0,1.6609320009550688,Epsilon Greedy
0,0.13302995054493316,Epsilon Greedy
0,-0.5369700072247123,Epsilon Greedy
0,-0.0221409179535359,Epsilon Greedy
0,-1.0276787815462316,Epsilon Greedy
0,0.9654832876815824,Epsilon Greedy
0,0.9632108626059592,Epsilon Greedy
0,0.05581441903729345,Epsilon Greedy
0,0.6599018992217774,Epsilon Greedy
0,0.7574541424702947,Epsilon Greedy
0,-0.667285207476275,Epsilon Greedy
1,1.7042514157145594,Epsilon Greedy
2,2.981320346034241,Epsilon Greedy
2,3.6328694011310847,Epsilon Greedy
2,3.10012449100723,Epsilon Greedy
2,3.4141366419931916,Epsilon Greedy
2,3.1701993272199753,Epsilon Greedy
2,3.2735413605885917,Epsilon Greedy
2,2.3408348570061217,Epsilon Greedy
2,4.962276337339939,Epsilon Greedy
2,1.394153287788275,Epsilon Greedy
2,3.9854342553380673,Epsilon Greedy
2,3.9328483122277227,Epsilon Greedy
2,1.8192593644549067,Epsilon Greedy
2,3.795194498027107,Epsilon Greedy
2,2.3989730527637447,Epsilon Greedy
2,4.708471704875918,Epsilon Greedy
2,2.8454342969553683,Epsilon Greedy
2,4.188354375285172,Epsilon Greedy
2,3.3140081624333217,Epsilon Greedy
2,-0.31306066310147385,Epsilon Greedy
2,2.871324324424286,Epsilon Greedy
2,2.4403426885582737,Epsilon Greedy
2,2.908828705953122,Epsilon Greedy
2,1.6133335439916052,Epsilon Greedy
2,3.84590759596849,Epsilon Greedy
2,1.62192557432819,Epsilon Greedy
2,2.277093871724453,Epsilon Greedy
2,3.4994791680527584,Epsilon Greedy
2,3.8227552969960135,Epsilon Greedy
2,4.620230757900579,Epsilon Greedy
2,5.478003817730908,Epsilon Greedy
2,4.0483994523057545,Epsilon Greedy
2,2.5808003826575865,Epsilon Greedy
2,3.307255245368837,Epsilon Greedy
2,3.435600719925228,Epsilon Greedy
2,3.5874369962279227,Epsilon Greedy
2,2.4474797604160994,Epsilon Greedy
2,2.4527993799406205,Epsilon Greedy
2,2.167296051442789,Epsilon Greedy
2,3.1294190508255824,Epsilon Greedy
2,3.499311731152075,Epsilon Greedy
2,1.763465218688708,Epsilon Greedy
2,2.9318149160830727,Epsilon Greedy
2,4.551229101592986,Epsilon Greedy
2,3.4368772342846787,Epsilon Greedy
2,5.254414094604337,Epsilon Greedy
2,2.9116497402291257,Epsilon Greedy
2,4.486401204842197,Epsilon Greedy
2,3.1708795523550135,Epsilon Greedy
2,2.3412544252952188,Epsilon Greedy
2,2.20237028681152,Epsilon Greedy
2,2.4540920999486198,Epsilon Greedy
2,1.911887683011088,Epsilon Greedy
2,4.491988648179057,Epsilon Greedy
2,2.5047388028979416,Epsilon Greedy
2,3.5171258392170754,Epsilon Greedy
2,3.0511463801198584,Epsilon Greedy
2,2.5367140926990155,Epsilon Greedy
2,2.130813524337132,Epsilon Greedy
2,3.46140787533628,Epsilon Greedy
2,3.0629791587001196,Epsilon Greedy
2,2.3083189514338205,Epsilon Greedy
2,3.1544281301754418,Epsilon Greedy
2,0.6231816241459245,Epsilon Greedy
2,2.3262378713261183,Epsilon Greedy
2,3.493563959546996,Epsilon Greedy
2,2.59767029011595,Epsilon Greedy
2,0.909448988655539,Epsilon Greedy
2,4.0937783273832205,Epsilon Greedy
2,2.812921182112525,Epsilon Greedy
2,3.5117042661360083,Epsilon Greedy
2,2.5589670778961033,Epsilon Greedy
2,3.315833126741002,Epsilon Greedy
2,3.524095226437157,Epsilon Greedy
2,3.1698776452034525,Epsilon Greedy
2,3.2427919755730805,Epsilon Greedy
2,2.709654727154984,Epsilon Greedy
2,2.3610687324098314,Epsilon Greedy
2,1.363419379217166,Epsilon Greedy
2,2.981479379724249,Epsilon Greedy
2,2.3835478196979665,Epsilon Greedy
2,4.03739179659674,Epsilon Greedy
2,4.682295664417309,Epsilon Greedy
2,2.4367448090113153,Epsilon Greedy
2,1.2892877319850378,Epsilon Greedy
2,3.6807483446293965,Epsilon Greedy
2,2.333404850248796,Epsilon Greedy
2,2.8757231730764325,Epsilon Greedy
2,1.2191071809571732,Epsilon Greedy
